"Tanaka 90, Specimen 4"	
2.8288	32.80332
3.0464	34.57531
3.264	36.33119
3.4816	38.08163
3.6992	39.82815
3.9168	41.57031
4.1344	43.31057
4.352	45.04817
4.5696	46.78051
4.7872	48.50193
5.0048	50.19899
5.2224	51.85741
5.44	53.42433
5.2224	51.47452
5.0048	49.50639
4.7872	47.54544
4.5696	45.5956
4.352	43.65689
4.1344	41.72686
3.9168	39.80268
3.6992	37.88533
3.4816	35.96158
3.264	34.03464
3.0464	32.12055
2.8288	30.21308
2.6112	28.31504
2.3936	26.41626
2.176	24.51272
1.9584	22.6107
1.7408	20.70383
1.5232	18.75812
1.3056	16.77163
1.088	14.72768
0.8704	12.52078
0.6528	9.94158
0.4352	6.98164
0.2176	3.62803
3.1695845e-12	-0.47243282
-0.2176	-4.99699
-0.4352	-9.62394
-0.6528	-13.13305
-0.8704	-15.73846
-1.088	-17.94366
-1.3056	-19.99621
-1.5232	-21.93282
-1.7408	-23.81208
-1.9584	-25.66023
-2.176	-27.47377
-2.3936	-29.27024
-2.6112	-31.05763
-2.8288	-32.83985
-3.0464	-34.60983
-3.264	-36.36408
-3.4816	-38.11383
-3.6992	-39.85975
-3.9168	-41.60138
-4.1344	-43.3416
-4.352	-45.07913
-4.5696	-46.81138
-4.7872	-48.53105
-5.0048	-50.2281
-5.2224	-51.88685
-5.44	-53.4529
-5.2224	-51.5032
-5.0048	-49.53655
-4.7872	-47.57664
-4.5696	-45.62615
-4.352	-43.687
-4.1344	-41.7574
-3.9168	-39.83377
-3.6992	-37.9167
-3.4816	-35.9963
-3.264	-34.07094
-3.0464	-32.15652
-2.8288	-30.25034
-2.6112	-28.35374
-2.3936	-26.45858
-2.176	-24.55599
-1.9584	-22.65718
-1.7408	-20.75411
-1.5232	-18.81584
-1.3056	-16.83633
-1.088	-14.80372
-0.8704	-12.60663
-0.6528	-10.08692
-0.4352	-7.19144
-0.2176	-3.84462
-3.6334357e-12	0.21630084
0.36448	8.05995
0.72896	13.93832
1.09344	17.68954
1.45792	21.05595
1.8224	24.20093
2.18688	27.25906
2.55136	30.26051
2.91584	33.2416
3.28032	36.18728
3.6448	39.11498
4.00928	42.03226
4.37376	44.94382
4.73824	47.84046
5.10272	50.68336
5.4672	53.40555
5.83168	55.72733
6.19616	57.67915
6.56064	59.19797
6.92512	60.25159
7.2896	60.96781
7.65408	61.58688
8.01856	62.1284
8.38304	62.62221
8.74752	63.09018
9.112	63.53996
8.74752	60.44282
8.38304	57.45497
8.01856	54.42906
7.65408	51.40952
7.2896	48.40782
6.92512	45.42462
6.56064	42.4523
6.19616	39.48371
5.83168	36.52624
5.4672	33.57263
5.10272	30.61377
4.73824	27.66431
4.37376	24.7297
4.00928	21.81374
3.6448	18.9238
3.28032	16.06846
2.91584	13.25111
2.55136	10.49846
2.18688	7.81886
1.8224	5.21272
1.45792	2.70809
1.09344	0.31045496
0.72896	-2.02925
0.36448	-4.39869
6.8629367e-12	-7.8404
-0.36448	-13.97346
-0.72896	-17.53246
-1.09344	-20.68229
-1.45792	-23.68835
-1.8224	-26.64092
-2.18688	-29.56662
-2.55136	-32.47828
-2.91584	-35.38392
-3.28032	-38.27818
-3.6448	-41.16668
-4.00928	-44.05018
-4.37376	-46.91996
-4.73824	-49.75671
-5.10272	-52.50917
-5.4672	-55.07717
-5.83168	-57.3144
-6.19616	-59.06235
-6.56064	-60.28342
-6.92512	-61.13672
-7.2896	-61.84672
-7.65408	-62.44368
-8.01856	-62.96874
-8.38304	-63.47893
-8.74752	-63.9658
-9.112	-64.43154
-8.74752	-61.35414
-8.38304	-58.39179
-8.01856	-55.38073
-7.65408	-52.38648
-7.2896	-49.41044
-6.92512	-46.45377
-6.56064	-43.51642
-6.19616	-40.58654
-5.83168	-37.6667
-5.4672	-34.75963
-5.10272	-31.85798
-4.73824	-28.96718
-4.37376	-26.0964
-4.00928	-23.24756
-3.6448	-20.43358
-3.28032	-17.65998
-2.91584	-14.94738
-2.55136	-12.30778
-2.18688	-9.75877
-1.8224	-7.31924
-1.45792	-5.01683
-1.09344	-2.86328
-0.72896	-1.08401
-0.36448	0.53709422
-7.6398646e-12	1.73079
0.36448	2.70385
0.72896	4.55795
1.09344	6.74161
1.45792	8.46058
1.8224	11.45685
2.18688	14.16983
2.55136	17.01045
2.91584	19.84389
3.28032	22.66169
3.6448	25.46927
4.00928	28.26191
4.37376	31.04272
4.73824	33.80335
5.10272	36.54766
5.4672	39.27206
5.83168	41.98406
6.19616	44.67369
6.56064	47.34346
6.92512	49.98501
7.2896	52.57335
7.65408	55.06593
8.01856	57.39778
8.38304	59.4801
8.74752	61.2216
9.112	62.58705
8.74752	59.57071
8.38304	56.58188
8.01856	53.60431
7.65408	50.64462
7.2896	47.70395
6.92512	44.78321
6.56064	41.87635
6.19616	38.97602
5.83168	36.09212
5.4672	33.21439
5.10272	30.35114
4.73824	27.49978
4.37376	24.67443
4.00928	21.88141
3.6448	19.13217
3.28032	16.43177
2.91584	13.80224
2.55136	11.26068
2.18688	8.82589
1.8224	6.53393
1.45792	4.51783
1.09344	2.65968
0.72896	1.04465
0.36448	-0.35122759
8.4168025e-12	-1.59384
-0.36448	-2.89842
-0.72896	-4.26457
-1.09344	-6.06426
-1.45792	-8.42353
-1.8224	-11.11192
-2.18688	-13.96834
-2.55136	-16.82369
-2.91584	-19.67606
-3.28032	-22.51478
-3.6448	-25.34043
